#wavelength flux error
1.138000 0.001365 6.9892515e-5
1.164500 0.001453 6.9892515e-5
1.191000 0.001375 6.9892515e-5
1.217000 0.001216 6.9892515e-5
1.243000 0.001129 6.9892515e-5
1.269000 0.001104 6.9892515e-5
1.295500 0.001193 6.9892515e-5
1.322000 0.001323 6.9892515e-5
1.348000 0.001497 6.9892515e-5
1.374500 0.001552 6.9892515e-5
1.401000 0.001563 6.9892515e-5
1.427000 0.001528 6.9892515e-5
1.453000 0.001443 6.9892515e-5
1.479000 0.001381 6.9892515e-5
1.505500 0.001316 6.9892515e-5
1.532000 0.001258 6.9892515e-5
1.558000 0.001213 6.9892515e-5
1.584500 0.001201 6.9892515e-5
1.610500 0.001378 6.9892515e-5
1.637000 0.001483 6.9892515e-5
